STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,5/20/1980,49.5,4,0,,999.9,,78.8, ,55.4,*,13,,0,I,9999.9,0,999.9,,878.7,4,66.7,4,18.6,4,7.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/1/1980,46.4,4,0,,999.9,,77, ,62.6,*,8,,0,I,9999.9,0,999.9,,876.7,4,69.4,4,17.1,4,5,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/8/1980,41.9,4,0,,999.9,,77, ,48.2, ,11.1,,0,G,9999.9,0,999.9,,879,4,63.1,4,12.4,4,4.8,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,9/5/1980,45.5,4,0,,999.9,,84.2,*,55.4, ,8,,0,G,9999.9,0,999.9,,876,4,78.3,4,9.5,4,4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,9/6/1980,47.8,4,0,,999.9,,84.2,*,53.6, ,5.1,,0,G,9999.9,0,999.9,,875.9,4,71.6,4,7.5,4,2.5,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,9/7/1980,43.5,5,0,,999.9,,87.8,*,53.6, ,8,,0,G,9999.9,0,999.9,,873.6,5,79.9,5,9.7,5,4.6,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,12/6/1980,57.7,4,0,,999.9,,80.6, ,59, ,8,,0,G,9999.9,0,999.9,,872.2,4,74.8,4,18.6,4,4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,1/12/1981,64.4,4,10,,999.9,,84.2, ,62.6, ,2.9,,0.28,G,9999.9,0,999.9,,873.7,4,73.4,4,17.1,4,1.5,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,1/20/1981,62.1,4,10,,999.9,,84.2, ,62.6, ,8,,0.28,G,9999.9,0,999.9,,872.3,4,74.3,4,17.2,4,4.8,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,1/29/1981,63,5,10000,,999.9,,73.4, ,62.6, ,6,,0.28,G,9999.9,0,999.9,,874.8,5,67.3,5,17.4,5,3.8,4
